id,Original_id,Sel_r,Sel_g,Sel_b,sex,Ori_r,Ori_g,Ori_b,Sel_hue,Sel_sat,Sel_bri,Ori_hue,Ori_sat,Ori_bri,Bri_sub,bri_sub_order,Sat_sub,sat_sub_order
39,47,242.12299,180.311,155.15184,2,220.50699,152.11758,127.458725,12.212644,91.67355,242,11.42473,107.795456,220,-22,55,16.121906,170
40,48,242.40675,196.9864,189.02878,1,233.59389,184.3996,174.47142,5.6132083,55.847107,242,7.2033896,64.570816,233,-9,110,8.723709,146
41,49,199.57603,150.17476,142.54681,1,235.7326,204.17082,196.35626,5.9649124,73.0402,199,8.717948,42.31915,235,36,183,-30.72105,8
42,51,234.0578,161.35883,158.02513,2,227.52652,164.72171,156.17207,1.6776328,82.82052,234,4.7887335,79.75771,227,-7,117,-3.06281,77
43,52,221.96355,137.16943,123.776474,2,222.04723,160.41986,143.67084,6.0714283,113.07693,221,9.14557,90.74324,222,1,142,-22.33369,18
44,53,252.83754,209.04524,188.18115,2,234.30603,173.82898,155.04546,13.9453125,64.76191,252,9.683545,86.089745,234,-18,68,21.327835,176
45,54,248.43869,184.4696,168.77272,1,226.03946,162.75871,147.0061,8.499999,82.258064,248,8.069619,89.13717,226,-22,56,6.879106,137
46,55,250.25902,181.8668,183.904,1,221.88187,157.60826,157.71217,253.76813,70.38,250,0,73.84615,221,-29,34,3.46615,118
47,56,251.18028,189.00592,181.52046,1,214.50522,161.73607,155.69495,4.8571424,71.11554,251,4.322035,70.303734,214,-37,13,-0.811806,87
48,57,207.63045,128.55286,137.78357,1,176.91342,119.403885,122.33414,250.15822,97.31884,207,252.76317,82.58523,176,-31,27,-14.73361,37
49,58,225.86887,164.92854,159.43542,1,226.12514,163.0424,156.5852,3.2196965,74.799995,225,4.250001,78.9823,226,1,143,4.182305,122
50,59,251.5788,180.07497,165.31708,2,207.10977,134.09113,118.744545,7.4127917,87.37052,251,7.64045,109.63768,207,-44,8,22.26716,178
51,60,249.67316,216.15216,209.19063,2,238.57097,202.3725,191.89494,7.4375005,40.963856,249,9.946807,50.357143,238,-11,101,9.393287,153
